AGNO,COD_COM_RBD,COD_DEPE2,RURAL_RBD,COD_ENSE,COD_GRADO,MRUN,GEN_ALU,EDAD_ALU,COD_COM_ALU,PROM_GRAL,ASISTENCIA,SIT_FIN_R,PROM_GRAL_ANTERIOR,ASISTENCIA_ANTERIOR,EE_GRATUITO,PRIORITARIO_ALU,PREFERENTE_ALU,BEN_SEP,DESERTAR
2024,3101,2,0,510,3,18164902,1,17.0,3102,5.0,99,P,,,0,1,0,1,0
2023,5802,2,0,310,4,23863024,1,17.0,5101,6.1,86,P,5.6,92.0,1,1,0,1,0
2021,13120,1,0,610,4,17560654,2,17.0,13127,6.8,85,P,6.4,100.0,1,0,1,1,0
2017,8205,2,0,310,3,19088920,1,18.0,8205,4.4,87,R,4.7,96.0,1,0,1,1,0
2021,13601,1,0,310,4,15937757,2,17.0,13605,6.7,85,P,6.9,85.0,1,0,1,1,0
2021,8301,4,0,710,3,1626476,1,18.0,8303,5.5,85,P,,,1,1,0,0,0
2017,6101,1,0,610,3,8729190,2,16.0,6101,6.5,99,P,,,1,0,1,1,0
2022,13110,2,0,310,3,5506580,1,16.0,13402,6.5,96,P,,,1,0,1,1,0
2017,7301,2,0,310,4,12896552,2,18.0,7301,5.5,93,P,5.2,92.0,1,0,1,1,0
2019,16101,4,0,610,3,9882151,2,16.0,16101,5.8,94,P,,,1,1,0,0,0
2020,8101,4,0,610,3,13145761,2,16.0,8108,6.3,100,P,,,1,1,0,0,0
2018,9108,1,0,710,3,4776218,1,16.0,9108,4.6,92,P,,,1,1,0,1,0
2024,13201,2,0,310,4,19201187,1,18.0,13201,5.7,100,P,5.7,96.0,0,0,1,0,0
2021,8301,1,0,310,4,12205479,2,17.0,8301,6.8,95,P,6.7,100.0,1,0,1,1,0
2017,13127,4,0,510,4,8632003,1,17.0,13107,5.7,94,P,5.5,97.0,0,1,0,0,0
2023,9210,1,0,610,3,23864161,2,19.0,7201,6.6,96,P,,,1,1,0,1,0
